split,stratifier,stratum,metric,n_complexes,mean,ci95_low,ci95_high
split2026,density_quartile,Q2,p_at_nc,9,0.06084656084656083,0.0,0.14285714285714282
split2026,density_quartile,Q3,auprc,10,0.08412819747657689,0.05193460798926072,0.12863706074885445
split2026,density_quartile,Q3,auroc,10,0.5855410156870821,0.46786281129710316,0.6909785258710803
split2026,density_quartile,Q3,mcc,10,8.803855808114103e-05,-0.035465510024447984,0.045012924331216966
split2026,density_quartile,Q3,f1,10,0.02684786571287376,0.0,0.07181995673906524
split2026,density_quartile,Q3,p_at_5,10,0.04,0.0,0.12000000000000002
split2026,density_quartile,Q3,p_at_10,10,0.03,0.0,0.09
split2026,density_quartile,Q3,p_at_nc,10,0.06502219923272554,0.0,0.15482434587697658
split2026,density_quartile,Q4,auprc,22,0.21882140662687036,0.13494119095077803,0.3162106511695191
split2026,density_quartile,Q4,auroc,22,0.5459220169462384,0.44646566692141454,0.6486251605882376
split2026,density_quartile,Q4,mcc,22,-0.026971512235797513,-0.09019011439192544,0.03800539602628732
split2026,density_quartile,Q4,f1,22,0.07517677613534547,0.035761935043266566,0.11975247224805746
split2026,density_quartile,Q4,p_at_5,22,0.19090909090909092,0.06363636363636363,0.34545454545454546
split2026,density_quartile,Q4,p_at_10,22,0.20909090909090908,0.08636363636363636,0.34545454545454546
split2026,density_quartile,Q4,p_at_nc,22,0.17829568002665253,0.08945873607541155,0.27595053257612706
split2027,density_quartile,Q1,auprc,8,0.006584155803731937,0.004264374806610375,0.008839057517839907
split2027,density_quartile,Q1,auroc,8,0.4265410861150981,0.31548021480741684,0.5429170527883824
split2027,density_quartile,Q1,mcc,8,-0.013955288963419675,-0.02910022698876929,0.01034618157835507
split2027,density_quartile,Q1,f1,8,0.004719216592210074,0.0,0.011216473306041998
split2027,density_quartile,Q1,p_at_5,8,0.0,0.0,0.0
split2027,density_quartile,Q1,p_at_10,8,0.0,0.0,0.0
split2027,density_quartile,Q1,p_at_nc,8,0.0,0.0,0.0
split2027,density_quartile,Q2,auprc,17,0.04966068830825308,0.025890268416987855,0.08759801768627729
split2027,density_quartile,Q2,auroc,17,0.5420158858475667,0.5061819796458427,0.5771086398592797
split2027,density_quartile,Q2,mcc,17,-0.008611861866327652,-0.03526502628617691,0.019783892474278194
split2027,density_quartile,Q2,f1,17,0.02985313700839239,0.0145764372826813,0.04600980003656981
split2027,density_quartile,Q2,p_at_5,17,0.047058823529411764,0.0,0.14117647058823532
split2027,density_quartile,Q2,p_at_10,17,0.05294117647058823,0.0,0.14705882352941177
split2027,density_quartile,Q2,p_at_nc,17,0.04862531969309464,0.0,0.10818414322250641
split2027,density_quartile,Q3,auprc,14,0.07050915984509991,0.0567542591886637,0.08640759627535732
split2027,density_quartile,Q3,auroc,14,0.5958971958095302,0.5474261160930396,0.6405209228605767
split2027,density_quartile,Q3,mcc,14,0.042426470910178704,-0.005192610306642317,0.08819969302697073
split2027,density_quartile,Q3,f1,14,0.09318363904064565,0.056013204719687806,0.1273180661088254
split2027,density_quartile,Q3,p_at_5,14,0.042857142857142864,0.0,0.11428571428571428
split2027,density_quartile,Q3,p_at_10,14,0.03571428571428571,0.0,0.09999999999999999
split2027,density_quartile,Q3,p_at_nc,14,0.02345848595848595,0.003296703296703293,0.04726800976800976
split2027,density_quartile,Q4,auprc,11,0.13409050933900124,0.10133225949804907,0.1712796728388121
split2027,density_quartile,Q4,auroc,11,0.5453174781939518,0.416489694047797,0.6666831206228548
split2027,density_quartile,Q4,mcc,11,0.031230531720046587,-0.060414223378866365,0.12089587100398902
split2027,density_quartile,Q4,f1,11,0.13266452048916166,0.05803082960573356,0.20814550557321973
