setting,model,stratifier,bin,n_pair_seed_observations,n_unique_pairs,absolute_error_improvement_mean,pcc_base,scc_base,rmse_base,mae_base,pcc_model,scc_model,rmse_model,mae_model,delta_pcc,delta_scc,delta_rmse,delta_mae
independent,Contact500 pretraining without SCA,ligand_similarity_bin,<0.4,102,34,0.006983284856758831,0.5142725242344346,0.512577604767329,1.010429224746891,0.8028632986779306,0.4914438999139847,0.4977798007164398,0.9952227267208512,0.7958800138211718,-0.02282862432044991,-0.014797804050889263,-0.015206498026039683,-0.006983284856758809
independent,Contact500 pretraining without SCA,ligand_similarity_bin,0.4-0.8,15,5,0.06030848821004232,0.4118383521538243,0.25095057377139124,0.6671328272390854,0.5899692058563233,0.4756587470043495,0.3273268353539886,0.6405265559102082,0.5296607176462809,0.06382039485052521,0.07637626158259736,-0.026606271328877162,-0.06030848821004242
independent,Contact500 pretraining without SCA,ligand_similarity_bin,>=0.8,27,9,0.013466517130533854,-0.15929351267355515,-0.37569634167468435,0.9562575713542044,0.7534339516251175,-0.19570847739340555,-0.4327874524193667,0.9249327869090973,0.7399674344945837,-0.036414964719850396,-0.05709111074468237,-0.03132478444510711,-0.013466517130533817
independent,Global-deoverlap Contact270 pretraining without SCA,ligand_similarity_bin,<0.4,102,34,0.04921844426323385,0.5142725242344346,0.512577604767329,1.010429224746891,0.8028632986779306,0.5677422641776052,0.5929133896032349,0.9548391651328618,0.7536448544146968,0.05346973994317061,0.08033578483590587,-0.055590059614029075,-0.04921844426323385
independent,Global-deoverlap Contact270 pretraining without SCA,ligand_similarity_bin,0.4-0.8,15,5,-0.08779004414876303,0.4118383521538243,0.25095057377139124,0.6671328272390854,0.5899692058563233,0.4067650904747752,0.24003967925959163,0.7598135136639125,0.6777592500050863,-0.00507326167904909,-0.010910894511799607,0.09268068642482707,0.08779004414876301
independent,Global-deoverlap Contact270 pretraining without SCA,ligand_similarity_bin,>=0.8,27,9,-0.10875120869389286,-0.15929351267355515,-0.37569634167468435,0.9562575713542044,0.7534339516251175,-0.11370438529048843,-0.36648809800618715,1.1023812136615299,0.8621851603190104,0.045589127383066724,0.009208243668497207,0.14612364230732544,0.10875120869389288
independent,StructRSMA: Contact270 pretraining plus SCA,ligand_similarity_bin,<0.4,102,34,0.02821538495082476,0.5142725242344346,0.512577604767329,1.010429224746891,0.8028632986779306,0.5560440844617075,0.5660329749052893,0.9757214892145433,0.7746479137271058,0.04177156022727291,0.0534553701379602,-0.03470773553234763,-0.028215384950824762
independent,StructRSMA: Contact270 pretraining plus SCA,ligand_similarity_bin,0.4-0.8,15,5,-0.09419902165730801,0.4118383521538243,0.25095057377139124,0.6671328272390854,0.5899692058563233,0.29783643596074894,0.22912878474779202,0.7278193522539295,0.6841682275136312,-0.11400191619307537,-0.021821789023599214,0.06068652501484406,0.09419902165730787
independent,StructRSMA: Contact270 pretraining plus SCA,ligand_similarity_bin,>=0.8,27,9,-0.09670329976964877,-0.15929351267355515,-0.37569634167468435,0.9562575713542044,0.7534339516251175,-0.0769044750455618,-0.276247310054915,1.0842215574264342,0.8501372513947664,0.08238903762799335,0.09944903161976937,0.1279639860722298,0.09670329976964886
independent,StructRSMA: Contact500 pretraining plus SCA,ligand_similarity_bin,<0.4,102,34,-0.10559776483797563,0.5142725242344346,0.512577604767329,1.010429224746891,0.8028632986779306,0.30257127499329844,0.27849399343938547,1.1219552678496105,0.9084610635159063,-0.21170124924113615,-0.23408361132794359,0.11152604310271963,0.10559776483797567
independent,StructRSMA: Contact500 pretraining plus SCA,ligand_similarity_bin,0.4-0.8,15,5,0.05183156331380202,0.4118383521538243,0.25095057377139124,0.6671328272390854,0.5899692058563233,0.394964240748332,0.2182178902359924,0.6754583702593374,0.5381376425425212,-0.01687411140549233,-0.03273268353539885,0.008325543020252013,-0.05183156331380212
independent,StructRSMA: Contact500 pretraining plus SCA,ligand_similarity_bin,>=0.8,27,9,-0.08843409573590313,-0.15929351267355515,-0.37569634167468435,0.9562575713542044,0.7534339516251175,-0.2647871780448114,-0.3959544777453781,0.9562146236380029,0.8418680473610207,-0.10549366537125623,-0.020258136070693766,-4.2947716201502395e-05,0.08843409573590322
